customer_id,age,gender,city,income_bracket,tenure_months,card_type
C100000,46,M,North Judithbury,Mid,51,Green
C100001,24,M,East Jill,Affluent,71,Gold
C100002,43,M,New Roberttown,High,48,Gold
C100003,37,M,East Jessetown,Mid,19,Gold
C100004,49,M,Lake Debra,Low,6,Platinum
C100005,45,F,Robinsonshire,Low,84,Gold
C100006,33,F,Lisatown,Low,155,Gold
C100007,35,M,Lake Roberto,High,53,Platinum
C100008,21,F,Ericmouth,Mid,107,Gold
C100009,36,F,North Noahstad,High,101,Gold
C100010,24,M,Cassandraton,Low,48,Green
C100011,35,M,Herrerafurt,Affluent,135,Green
C100012,30,F,New Kellystad,High,69,Gold
C100013,28,M,Lake Chad,Mid,11,Platinum
C100014,51,F,Port Keith,Low,143,Green
C100015,23,M,Port Jesseville,Low,131,Green
C100016,27,F,Ramirezstad,Mid,122,Gold
C100017,30,F,West Michael,Mid,69,Green
C100018,32,F,Jacquelineland,Mid,23,Gold
C100019,28,F,New Jessica,Mid,37,Gold
C100020,34,F,South Noah,Mid,9,Green
C100021,41,M,Lake Mark,Low,15,Platinum
C100022,45,F,East Lydiamouth,Mid,131,Gold
C100023,44,F,Adamsborough,Mid,93,Gold
C100024,21,F,Jasonfort,Mid,17,Green
C100025,42,M,Wilkersonmouth,High,154,Gold
C100026,42,M,West Donald,Low,149,Platinum
C100027,30,F,Juliechester,Mid,72,Green
C100028,56,F,Coxberg,Mid,149,Green
C100029,49,M,Daviston,Low,121,Green
C100030,35,M,East Courtneychester,Mid,11,Green
C100031,31,F,South Patrickmouth,Low,166,Green
C100032,56,M,Tashatown,Low,72,Green
C100033,37,M,Lake Nicoleview,Affluent,106,Platinum
C100034,38,F,Danielchester,Affluent,125,Gold
C100035,38,F,South Aaron,High,35,Green
C100036,63,M,Teresaburgh,Mid,119,Platinum
C100037,35,F,Port Colleenhaven,Low,14,Green
C100038,37,F,East Nathaniel,High,14,Gold
C100039,28,F,New Stephanie,Mid,10,Green
C100040,33,M,New Mariotown,Low,140,Green
C100041,26,M,West Natashaport,Mid,38,Platinum
C100042,29,M,North John,Low,108,Green
C100043,21,M,North Jessicaland,Affluent,119,Platinum
C100044,47,M,East Donna,Mid,34,Gold
C100045,39,M,West Allison,High,169,Green
C100046,40,M,Brandtside,Mid,10,Gold
