exposure_id,customer_id,offer_id,merchant_id,category,exposure_date,redeemed,spend_amount,redemption_date
E1000000,C102390,O5119,M2117,Dining,2024-02-17,0,0.0,
E1000001,C102999,O5397,M2036,Electronics,2024-03-01,1,521.58,2024-03-05
E1000002,C102504,O5351,M2116,Retail,2024-05-20,0,0.0,
E1000003,C100898,O5294,M2125,Retail,2024-12-09,0,0.0,
E1000004,C101813,O5163,M2026,Retail,2024-01-17,1,646.51,2024-02-13
E1000005,C101502,O5314,M2040,Fuel,2024-01-12,1,391.05,2024-01-19
E1000006,C100342,O5416,M2078,Fuel,2025-02-15,0,0.0,
E1000007,C103860,O5463,M2072,Electronics,2024-10-08,0,0.0,
E1000008,C103351,O5306,M2066,Retail,2024-12-11,0,0.0,
E1000009,C102860,O5089,M2029,Entertainment,2025-05-17,1,1588.22,2025-05-29
E1000010,C101248,O5100,M2061,Entertainment,2025-01-22,1,2778.77,2025-02-06
E1000011,C101208,O5269,M2065,Electronics,2024-02-02,1,958.18,2024-02-28
E1000012,C104390,O5352,M2102,Fuel,2025-03-18,0,0.0,
E1000013,C102139,O5495,M2129,Dining,2024-07-02,0,0.0,
E1000014,C101610,O5101,M2085,Travel,2025-01-03,1,627.77,2025-01-26
E1000015,C101979,O5388,M2133,Fuel,2024-06-12,0,0.0,
E1000016,C102797,O5242,M2005,Health & Wellness,2025-02-07,0,0.0,
E1000017,C100556,O5366,M2145,Entertainment,2024-02-29,0,0.0,
E1000018,C103994,O5347,M2005,Health & Wellness,2025-05-19,0,0.0,
E1000019,C104404,O5032,M2135,Dining,2025-05-28,0,0.0,
E1000020,C103686,O5080,M2060,Entertainment,2024-01-04,0,0.0,
E1000021,C101152,O5084,M2124,Electronics,2024-01-20,0,0.0,
E1000022,C103744,O5162,M2048,Retail,2025-07-07,1,457.07,2025-08-03
E1000023,C103621,O5519,M2045,Fuel,2024-01-17,0,0.0,
E1000024,C103359,O5370,M2096,Dining,2024-05-11,0,0.0,
E1000025,C100972,O5491,M2129,Dining,2024-02-04,0,0.0,
E1000026,C103907,O5443,M2033,Electronics,2024-08-26,0,0.0,
E1000027,C103728,O5553,M2032,Retail,2024-12-10,0,0.0,
E1000028,C103411,O5478,M2002,Fuel,2024-02-08,0,0.0,
E1000029,C103066,O5119,M2117,Dining,2025-05-12,0,0.0,
E1000030,C101291,O5004,M2058,Grocery,2024-02-19,0,0.0,
E1000031,C104313,O5215,M2121,Fuel,2024-12-13,0,0.0,
