offer_id,merchant_id,category,offer_type,discount_pct,min_spend,start_date,end_date
O5000,M2125,Retail,Cashback,25,0,2024-04-25,2024-06-09
O5001,M2049,Fuel,Discount,5,1000,2024-09-17,2024-10-02
O5002,M2079,Travel,Bonus Points,30,0,2024-11-11,2025-01-10
O5003,M2096,Dining,Bonus Points,25,0,2024-11-16,2025-01-15
O5004,M2058,Grocery,Discount,5,500,2024-05-06,2024-06-20
O5005,M2073,Grocery,Discount,15,500,2024-01-28,2024-04-27
O5006,M2062,Retail,Discount,15,1000,2024-12-04,2025-02-02
O5007,M2024,Travel,Discount,15,1000,2024-08-15,2024-11-13
O5008,M2137,Grocery,Cashback,5,2000,2024-05-08,2024-08-06
O5009,M2076,Grocery,Bonus Points,5,0,2024-01-29,2024-02-13
O5010,M2123,Travel,Cashback,25,1000,2024-06-27,2024-09-25
O5011,M2128,Dining,Bonus Points,25,0,2024-06-12,2024-07-27
O5012,M2098,Entertainment,Discount,25,500,2024-06-08,2024-06-23
O5013,M2013,Fuel,Bonus Points,10,500,2024-11-15,2024-12-30
O5014,M2148,Retail,Bonus Points,5,0,2025-02-01,2025-05-02
O5015,M2037,Retail,Statement Credit,30,500,2024-10-14,2024-12-13
O5016,M2000,Grocery,Statement Credit,15,2000,2025-05-08,2025-08-06
O5017,M2083,Fuel,Discount,15,0,2024-09-21,2024-11-05
O5018,M2132,Travel,Cashback,10,500,2025-04-11,2025-05-11
O5019,M2043,Fuel,Statement Credit,10,2000,2025-01-29,2025-02-28
O5020,M2056,Retail,Discount,15,500,2025-03-07,2025-05-06
O5021,M2103,Grocery,Cashback,5,1000,2025-03-10,2025-04-24
O5022,M2044,Retail,Statement Credit,15,2000,2025-01-22,2025-03-23
O5023,M2059,Health & Wellness,Bonus Points,15,0,2024-10-23,2024-11-07
O5024,M2065,Electronics,Statement Credit,30,0,2024-01-25,2024-04-24
O5025,M2046,Fuel,Discount,10,1000,2024-05-24,2024-06-08
O5026,M2114,Grocery,Statement Credit,10,1000,2024-06-23,2024-07-23
O5027,M2025,Entertainment,Statement Credit,25,0,2024-01-08,2024-04-07
O5028,M2136,Dining,Cashback,10,0,2024-11-09,2024-11-24
O5029,M2050,Fuel,Cashback,30,500,2024-04-18,2024-05-18
O5030,M2093,Electronics,Bonus Points,30,2000,2024-05-08,2024-05-23
O5031,M2109,Fuel,Discount,15,500,2024-01-02,2024-04-01
O5032,M2135,Dining,Bonus Points,30,2000,2024-01-10,2024-01-25
O5033,M2004,Entertainment,Bonus Points,25,5000,2024-12-12,2025-03-12
O5034,M2038,Health & Wellness,Statement Credit,15,1000,2024-04-26,2024-05-11
O5035,M2067,Travel,Bonus Points,5,1000,2025-02-14,2025-04-15
O5036,M2039,Health & Wellness,Cashback,5,500,2025-01-31,2025-02-15
O5037,M2035,Fuel,Bonus Points,10,0,2024-11-14,2024-11-29
O5038,M2148,Retail,Discount,25,500,2024-01-11,2024-03-11
O5039,M2096,Dining,Bonus Points,30,500,2025-02-01,2025-03-03
O5040,M2025,Entertainment,Discount,20,500,2024-04-05,2024-07-04
O5041,M2103,Grocery,Discount,5,1000,2025-04-08,2025-05-23
O5042,M2102,Fuel,Bonus Points,30,500,2025-01-14,2025-02-13
O5043,M2074,Dining,Bonus Points,5,1000,2024-04-02,2024-07-01
O5044,M2084,Travel,Bonus Points,5,500,2024-04-11,2024-04-26
O5045,M2112,Dining,Discount,5,0,2024-04-07,2024-05-07
O5046,M2055,Travel,Cashback,10,500,2024-10-08,2024-10-23
O5047,M2056,Retail,Statement Credit,25,5000,2025-03-28,2025-04-27
O5048,M2127,Retail,Bonus Points,5,2000,2025-04-11,2025-05-11
O5049,M2100,Grocery,Statement Credit,30,0,2024-10-21,2024-12-05
O5050,M2134,Fuel,Bonus Points,30,500,2024-12-13,2025-02-11
O5051,M2140,Health & Wellness,Discount,10,2000,2024-06-04,2024-07-04
O5052,M2083,Fuel,Discount,25,0,2024-05-24,2024-06-08
O5053,M2099,Dining,Statement Credit,25,0,2025-02-24,2025-04-10
O5054,M2045,Fuel,Cashback,20,0,2024-12-29,2025-01-28
O5055,M2060,Entertainment,Discount,15,500,2024-07-29,2024-09-27
O5056,M2055,Travel,Statement Credit,5,500,2024-06-03,2024-06-18
O5057,M2028,Travel,Discount,10,0,2024-08-29,2024-10-13
O5058,M2110,Retail,Bonus Points,25,1000,2024-03-16,2024-06-14
O5059,M2091,Electronics,Statement Credit,20,0,2024-11-18,2025-01-17
O5060,M2141,Retail,Statement Credit,15,1000,2025-01-12,2025-04-12
O5061,M2101,Travel,Bonus Points,25,500,2025-03-27,2025-06-25
O5062,M2070,Fuel,Statement Credit,25,500,2024-06-23,2024-08-07
O5063,M2012,Retail,Bonus Points,5,0,2024-04-20,2024-06-04
O5064,M2144,Travel,Cashback,15,1000,2025-04-03,2025-05-18
O5065,M2080,Grocery,Bonus Points,15,500,2025-02-21,2025-05-22
O5066,M2099,Dining,Cashback,10,500,2024-01-18,2024-02-02
O5067,M2082,Dining,Statement Credit,20,500,2024-10-17,2024-12-01
O5068,M2115,Health & Wellness,Bonus Points,30,1000,2024-09-30,2024-11-29
O5069,M2124,Electronics,Statement Credit,10,0,2024-08-25,2024-10-09
O5070,M2001,Entertainment,Cashback,20,0,2024-07-16,2024-08-30
O5071,M2061,Entertainment,Discount,10,0,2024-06-10,2024-07-25
O5072,M2019,Fuel,Discount,20,1000,2025-02-20,2025-05-21
O5073,M2089,Retail,Discount,30,500,2025-01-18,2025-02-02
O5074,M2061,Entertainment,Discount,5,1000,2024-07-18,2024-09-01
O5075,M2016,Health & Wellness,Discount,20,1000,2024-08-21,2024-11-19
O5076,M2038,Health & Wellness,Cashback,30,2000,2025-01-17,2025-03-18
O5077,M2009,Dining,Discount,10,500,2024-12-05,2024-12-20
O5078,M2109,Fuel,Discount,15,0,2025-05-12,2025-08-10
