customer_id,recency_days,frequency,monetary,cluster,segment,age,gender,city,income_bracket,tenure_months,card_type
C100000,17.0,1.0,928.26,0,Steady Redeemers,46,M,North Judithbury,Mid,51,Green
C100001,35.0,3.0,8301.78,3,"Champions (high-value, engaged)",24,M,East Jill,Affluent,71,Gold
C100002,12.0,4.0,5441.59,3,"Champions (high-value, engaged)",43,M,New Roberttown,High,48,Gold
C100003,1.0,7.0,6606.13,3,"Champions (high-value, engaged)",37,M,East Jessetown,Mid,19,Gold
C100004,59.0,2.0,540.12,0,Steady Redeemers,49,M,Lake Debra,Low,6,Platinum
C100005,42.0,2.0,757.34,0,Steady Redeemers,45,F,Robinsonshire,Low,84,Gold
C100006,261.0,1.0,227.17,2,At-Risk / Lapsing,33,F,Lisatown,Low,155,Gold
C100007,105.0,3.0,6915.87,0,Steady Redeemers,35,M,Lake Roberto,High,53,Platinum
C100008,120.0,3.0,5349.91,0,Steady Redeemers,21,F,Ericmouth,Mid,107,Gold
C100009,560.0,0.0,0.0,1,Low-Engagement / New,36,F,North Noahstad,High,101,Gold
C100010,20.0,2.0,1442.5700000000002,0,Steady Redeemers,24,M,Cassandraton,Low,48,Green
C100011,33.0,7.0,13191.47,3,"Champions (high-value, engaged)",35,M,Herrerafurt,Affluent,135,Green
C100012,36.0,5.0,5113.22,3,"Champions (high-value, engaged)",30,F,New Kellystad,High,69,Gold
C100013,560.0,0.0,0.0,1,Low-Engagement / New,28,M,Lake Chad,Mid,11,Platinum
C100014,72.0,3.0,5204.54,0,Steady Redeemers,51,F,Port Keith,Low,143,Green
C100015,210.0,3.0,1369.06,0,Steady Redeemers,23,M,Port Jesseville,Low,131,Green
C100016,463.0,1.0,1846.26,2,At-Risk / Lapsing,27,F,Ramirezstad,Mid,122,Gold
C100017,416.0,2.0,893.3299999999999,2,At-Risk / Lapsing,30,F,West Michael,Mid,69,Green
C100018,72.0,6.0,4171.77,3,"Champions (high-value, engaged)",32,F,Jacquelineland,Mid,23,Gold
C100019,55.0,5.0,9574.039999999999,3,"Champions (high-value, engaged)",28,F,New Jessica,Mid,37,Gold
C100020,29.0,4.0,6721.51,3,"Champions (high-value, engaged)",34,F,South Noah,Mid,9,Green
C100021,91.0,4.0,2256.14,3,"Champions (high-value, engaged)",41,M,Lake Mark,Low,15,Platinum
C100022,560.0,0.0,0.0,1,Low-Engagement / New,45,F,East Lydiamouth,Mid,131,Gold
C100023,5.0,6.0,7499.88,3,"Champions (high-value, engaged)",44,F,Adamsborough,Mid,93,Gold
C100024,169.0,3.0,2220.34,0,Steady Redeemers,21,F,Jasonfort,Mid,17,Green
C100025,21.0,7.0,12249.59,3,"Champions (high-value, engaged)",42,M,Wilkersonmouth,High,154,Gold
C100026,139.0,4.0,4409.639999999999,3,"Champions (high-value, engaged)",42,M,West Donald,Low,149,Platinum
C100027,51.0,9.0,8203.58,3,"Champions (high-value, engaged)",30,F,Juliechester,Mid,72,Green
C100028,0.0,5.0,4837.04,3,"Champions (high-value, engaged)",56,F,Coxberg,Mid,149,Green
C100029,170.0,4.0,2718.59,3,"Champions (high-value, engaged)",49,M,Daviston,Low,121,Green
C100030,560.0,0.0,0.0,1,Low-Engagement / New,35,M,East Courtneychester,Mid,11,Green
C100031,62.0,2.0,509.24,0,Steady Redeemers,31,F,South Patrickmouth,Low,166,Green
C100032,216.0,1.0,708.46,2,At-Risk / Lapsing,56,M,Tashatown,Low,72,Green
C100033,121.0,3.0,5563.5599999999995,0,Steady Redeemers,37,M,Lake Nicoleview,Affluent,106,Platinum
C100034,24.0,7.0,20100.51,3,"Champions (high-value, engaged)",38,F,Danielchester,Affluent,125,Gold
C100035,219.0,2.0,2646.92,0,Steady Redeemers,38,F,South Aaron,High,35,Green
C100036,51.0,6.0,4734.92,3,"Champions (high-value, engaged)",63,M,Teresaburgh,Mid,119,Platinum
C100037,177.0,2.0,600.63,0,Steady Redeemers,35,F,Port Colleenhaven,Low,14,Green
C100038,308.0,3.0,3489.2200000000003,2,At-Risk / Lapsing,37,F,East Nathaniel,High,14,Gold
C100039,560.0,0.0,0.0,1,Low-Engagement / New,28,F,New Stephanie,Mid,10,Green
C100040,432.0,1.0,216.99,2,At-Risk / Lapsing,33,M,New Mariotown,Low,140,Green
C100041,560.0,0.0,0.0,1,Low-Engagement / New,26,M,West Natashaport,Mid,38,Platinum
C100042,194.0,1.0,754.21,2,At-Risk / Lapsing,29,M,North John,Low,108,Green
C100043,42.0,3.0,18200.4,3,"Champions (high-value, engaged)",21,M,North Jessicaland,Affluent,119,Platinum
C100044,66.0,1.0,1094.77,0,Steady Redeemers,47,M,East Donna,Mid,34,Gold
C100045,16.0,7.0,11111.36,3,"Champions (high-value, engaged)",39,M,West Allison,High,169,Green
C100046,72.0,4.0,2597.8599999999997,3,"Champions (high-value, engaged)",40,M,Brandtside,Mid,10,Gold
C100047,106.0,1.0,1465.17,0,Steady Redeemers,37,M,Lake Larry,Mid,122,Gold
C100048,54.0,5.0,2980.0299999999997,3,"Champions (high-value, engaged)",38,M,Samuelhaven,Mid,145,Green
C100049,381.0,4.0,1218.33,2,At-Risk / Lapsing,55,M,Martinezbury,Low,145,Green
C100050,106.0,2.0,2264.4300000000003,0,Steady Redeemers,29,F,West Andrewside,Affluent,115,Green
C100051,33.0,4.0,14444.86,3,"Champions (high-value, engaged)",41,M,New Jeffrey,High,1,Platinum
C100052,-4.0,3.0,10521.34,3,"Champions (high-value, engaged)",41,M,Lake Crystalbury,Affluent,12,Gold
C100053,171.0,2.0,1861.15,0,Steady Redeemers,50,M,North Micheleland,High,103,Green
C100054,370.0,1.0,2158.34,2,At-Risk / Lapsing,42,F,West Elizabeth,Mid,4,Platinum
C100055,38.0,5.0,14713.95,3,"Champions (high-value, engaged)",43,M,New David,Affluent,170,Green
C100056,75.0,3.0,1366.93,0,Steady Redeemers,24,F,Sanchezfort,Low,141,Green
C100057,560.0,0.0,0.0,1,Low-Engagement / New,29,F,Leeville,Low,98,Green
C100058,168.0,1.0,379.6,0,Steady Redeemers,25,M,Gomezchester,Low,106,Gold
C100059,1.0,1.0,592.4,0,Steady Redeemers,21,M,Shieldston,Mid,85,Green
C100060,104.0,9.0,8279.34,3,"Champions (high-value, engaged)",42,F,North Richardmouth,Mid,121,Gold
C100061,199.0,4.0,5806.62,3,"Champions (high-value, engaged)",35,M,East Jamesside,Mid,132,Platinum
C100062,223.0,1.0,6028.46,2,At-Risk / Lapsing,42,M,Taylorburgh,High,82,Green
C100063,68.0,3.0,8685.5,0,Steady Redeemers,38,M,Stevenland,Mid,19,Green
C100064,134.0,1.0,1934.43,0,Steady Redeemers,40,F,Mortonside,Mid,130,Green
C100065,18.0,1.0,1116.07,0,Steady Redeemers,52,M,North Deniseside,Mid,12,Gold
C100066,43.0,3.0,1396.73,0,Steady Redeemers,38,M,North Sarabury,Low,81,Platinum
C100067,83.0,3.0,2880.92,0,Steady Redeemers,45,M,South Todd,High,74,Green
C100068,560.0,0.0,0.0,1,Low-Engagement / New,34,F,Port Richard,Low,98,Green
C100069,111.0,4.0,8267.23,3,"Champions (high-value, engaged)",47,F,East Nicholasfurt,Affluent,6,Green
C100070,103.0,5.0,9409.33,3,"Champions (high-value, engaged)",24,M,Saramouth,High,136,Green
C100071,206.0,2.0,654.05,0,Steady Redeemers,21,F,Rodneyside,Low,125,Gold
C100072,201.0,2.0,464.71000000000004,0,Steady Redeemers,61,M,Mooreport,Low,51,Green
C100073,53.0,5.0,12673.33,3,"Champions (high-value, engaged)",58,F,North Beth,High,11,Green
C100074,137.0,5.0,10123.810000000001,3,"Champions (high-value, engaged)",21,M,Lake Leeton,High,127,Gold
C100075,416.0,1.0,645.12,2,At-Risk / Lapsing,37,F,Shawhaven,High,140,Green
C100076,144.0,4.0,10616.06,3,"Champions (high-value, engaged)",39,F,North Susan,High,73,Gold
C100077,25.0,2.0,692.06,0,Steady Redeemers,45,F,Port Jacobland,Low,2,Green
C100078,-25.0,3.0,10703.050000000001,3,"Champions (high-value, engaged)",57,M,South David,Mid,8,Platinum
C100079,32.0,5.0,3575.26,3,"Champions (high-value, engaged)",26,F,New Brooke,Low,139,Green
C100080,17.0,2.0,2505.0699999999997,0,Steady Redeemers,26,F,South Dianeshire,High,124,Platinum
C100081,71.0,3.0,3379.13,0,Steady Redeemers,37,F,Sarahborough,Mid,53,Green
C100082,22.0,6.0,8188.5,3,"Champions (high-value, engaged)",27,M,Johnfurt,Mid,10,Platinum
C100083,89.0,3.0,2256.15,0,Steady Redeemers,21,F,Lake Debbie,Low,112,Green
C100084,560.0,0.0,0.0,1,Low-Engagement / New,35,M,Stewartland,Mid,8,Gold
C100085,-24.0,4.0,7360.08,3,"Champions (high-value, engaged)",47,M,South Christineshire,Mid,36,Green
C100086,6.0,8.0,11201.11,3,"Champions (high-value, engaged)",37,M,North Amandahaven,High,106,Gold
C100087,197.0,2.0,1566.85,0,Steady Redeemers,44,M,Davidstad,Mid,14,Gold
C100088,159.0,3.0,4759.99,0,Steady Redeemers,43,M,East Mikeburgh,High,86,Gold
C100089,182.0,2.0,3162.9799999999996,0,Steady Redeemers,26,M,Bassport,Mid,149,Gold
C100090,37.0,3.0,3879.9399999999996,0,Steady Redeemers,38,M,Lake Lisaport,Low,50,Green
C100091,162.0,4.0,7806.38,3,"Champions (high-value, engaged)",21,F,East Josephville,High,167,Green
C100092,13.0,2.0,8612.93,0,Steady Redeemers,32,M,West Juan,High,20,Gold
C100093,108.0,3.0,2214.92,0,Steady Redeemers,38,F,Lake Matthew,Mid,87,Green
C100094,560.0,0.0,0.0,1,Low-Engagement / New,37,F,Williamview,High,135,Green
C100095,62.0,4.0,5579.3,3,"Champions (high-value, engaged)",23,F,North Cynthiaview,Mid,137,Green
C100096,156.0,3.0,4881.58,0,Steady Redeemers,26,M,North Matthewberg,Mid,129,Green
C100097,123.0,3.0,1619.56,0,Steady Redeemers,41,M,Evanmouth,Mid,154,Gold
C100098,105.0,4.0,1462.92,3,"Champions (high-value, engaged)",47,F,Hoffmanville,Low,166,Gold
C100099,475.0,1.0,669.28,2,At-Risk / Lapsing,35,F,Lake Rebeccaside,Low,38,Platinum
C100100,16.0,4.0,2233.2799999999997,3,"Champions (high-value, engaged)",35,F,Port Mikeside,Low,44,Green
C100101,163.0,1.0,2006.92,0,Steady Redeemers,48,F,South David,Mid,86,Platinum
C100102,29.0,2.0,1320.4699999999998,0,Steady Redeemers,29,F,Michaelton,Mid,44,Gold
C100103,41.0,5.0,10869.14,3,"Champions (high-value, engaged)",56,M,Jasonbury,Mid,74,Platinum
C100104,336.0,1.0,8695.36,2,At-Risk / Lapsing,23,F,West Kimberlychester,Affluent,119,Platinum
C100105,17.0,2.0,995.0799999999999,0,Steady Redeemers,49,F,East Michelle,Mid,122,Gold
C100106,226.0,3.0,5700.790000000001,0,Steady Redeemers,43,M,South Angel,Mid,134,Green
C100107,406.0,4.0,5563.77,2,At-Risk / Lapsing,64,F,Kimberlychester,High,145,Green
C100108,82.0,5.0,4927.49,3,"Champions (high-value, engaged)",25,F,West Erik,Mid,51,Green
C100109,89.0,4.0,1459.96,3,"Champions (high-value, engaged)",21,F,South Monicafort,Low,38,Centurion
C100110,37.0,1.0,1694.77,0,Steady Redeemers,51,F,East Lisa,Mid,152,Centurion
C100111,208.0,3.0,1630.1000000000001,0,Steady Redeemers,21,M,Baileybury,Low,51,Gold
C100112,10.0,8.0,15965.91,3,"Champions (high-value, engaged)",44,F,North Donna,Affluent,10,Platinum
C100113,-12.0,2.0,2437.6800000000003,0,Steady Redeemers,51,F,Murphyland,High,120,Platinum
C100114,417.0,1.0,605.95,2,At-Risk / Lapsing,42,F,Michaelhaven,Mid,149,Gold
C100115,154.0,2.0,1557.7199999999998,0,Steady Redeemers,40,M,Frazierside,High,70,Gold
C100116,249.0,5.0,7490.57,3,"Champions (high-value, engaged)",42,M,Sheilaville,High,85,Gold
C100117,18.0,4.0,6419.19,3,"Champions (high-value, engaged)",47,F,Gregoryview,Low,57,Gold
C100118,199.0,2.0,3903.6000000000004,0,Steady Redeemers,44,M,North Candacestad,High,126,Green
C100119,203.0,2.0,1091.88,0,Steady Redeemers,24,F,Samuelhaven,Mid,39,Gold
C100120,172.0,4.0,5281.71,3,"Champions (high-value, engaged)",58,M,South Rachelborough,High,33,Gold
C100121,501.0,1.0,870.78,2,At-Risk / Lapsing,38,F,Bradleychester,High,18,Gold
C100122,163.0,5.0,7046.25,3,"Champions (high-value, engaged)",43,M,New Saraside,Mid,57,Platinum
C100123,560.0,0.0,0.0,1,Low-Engagement / New,45,F,West Ryan,Low,96,Green
C100124,560.0,0.0,0.0,1,Low-Engagement / New,50,F,Cindyville,Mid,48,Green
C100125,-3.0,2.0,1140.21,0,Steady Redeemers,49,M,Williamchester,Mid,42,Platinum
C100126,77.0,5.0,22712.65,3,"Champions (high-value, engaged)",39,F,Richardport,High,27,Gold
C100127,166.0,3.0,4629.48,0,Steady Redeemers,38,M,East Robert,High,74,Green
C100128,157.0,1.0,414.52,0,Steady Redeemers,42,F,Byrdburgh,Low,110,Gold
C100129,50.0,1.0,1019.26,0,Steady Redeemers,50,M,Richardtown,Mid,180,Gold
C100130,300.0,5.0,3071.6099999999997,3,"Champions (high-value, engaged)",25,M,Justinchester,Mid,170,Platinum
C100131,227.0,3.0,4403.450000000001,0,Steady Redeemers,45,M,Stevenmouth,Mid,32,Gold
C100132,59.0,4.0,2171.39,3,"Champions (high-value, engaged)",28,F,New Thomas,Low,26,Green
C100133,42.0,8.0,8767.91,3,"Champions (high-value, engaged)",58,M,Lake Christopher,Mid,25,Gold
C100134,278.0,3.0,4817.37,2,At-Risk / Lapsing,42,M,Clarencebury,Affluent,75,Platinum
C100135,42.0,4.0,3091.79,3,"Champions (high-value, engaged)",33,F,Jeffreyborough,Mid,23,Gold
C100136,116.0,2.0,4936.76,0,Steady Redeemers,42,M,North Brandon,Mid,57,Platinum
C100137,10.0,8.0,23812.440000000002,3,"Champions (high-value, engaged)",38,F,Carrland,High,180,Green
C100138,65.0,4.0,2135.95,3,"Champions (high-value, engaged)",36,F,Perryshire,Mid,126,Platinum
C100139,288.0,3.0,16253.369999999999,2,At-Risk / Lapsing,21,M,Lake Heather,Affluent,87,Platinum
C100140,126.0,4.0,13504.92,3,"Champions (high-value, engaged)",26,M,Rossberg,Affluent,31,Gold
C100141,-5.0,1.0,565.73,0,Steady Redeemers,36,F,Port Michelleville,Mid,64,Green
C100142,93.0,3.0,5053.639999999999,0,Steady Redeemers,21,M,Robinsonhaven,Mid,33,Platinum
C100143,-1.0,5.0,7718.49,3,"Champions (high-value, engaged)",31,M,Williamsbury,Mid,2,Gold
C100144,-17.0,4.0,3599.3,3,"Champions (high-value, engaged)",32,F,South Dennismouth,Mid,18,Platinum
C100145,358.0,2.0,2214.35,2,At-Risk / Lapsing,29,F,Stephaniemouth,Low,175,Green
C100146,-9.0,8.0,14759.710000000001,3,"Champions (high-value, engaged)",46,M,Rivasside,Mid,161,Green
C100147,560.0,0.0,0.0,1,Low-Engagement / New,28,F,Merrittfort,Mid,84,Green
C100148,99.0,3.0,1569.96,0,Steady Redeemers,38,F,Greenbury,Low,35,Gold
C100149,2.0,1.0,792.06,0,Steady Redeemers,34,F,Katiehaven,Mid,179,Gold
C100150,21.0,6.0,16799.88,3,"Champions (high-value, engaged)",36,F,Simsview,Affluent,114,Gold
C100151,90.0,1.0,369.67,0,Steady Redeemers,55,F,Jonesport,Mid,146,Gold
C100152,10.0,3.0,6019.1900000000005,0,Steady Redeemers,39,M,West Matthew,Low,110,Platinum
C100153,114.0,4.0,3932.69,3,"Champions (high-value, engaged)",42,M,East Edwardfurt,Mid,88,Green
